Begin Time (s)	End Time (s)	Begin File	Selection	View	Channel	template	scores
9598.07196634834	9598.35513243834	All Maybe Montana.wav	13835	Spectrogram 1	1	Large Training Set.wav-24	0.350040665339199
9644.88803121957	9645.17119730957	All Maybe Montana.wav	13928	Spectrogram 1	1	Large Training Set.wav-24	0.365739674949834
9724.91960833961	9725.18205495961	All Maybe Montana.wav	33658	Spectrogram 1	1	Large Training Set.wav-46	0.352945721882847
9785.76235597424	9786.02480259424	All Maybe Montana.wav	33660	Spectrogram 1	1	Large Training Set.wav-46	0.372172041683844
9793.12290328964	9793.40606937964	All Maybe Montana.wav	14014	Spectrogram 1	1	Large Training Set.wav-24	0.353984809283633
9796.13473856524	9796.44553062524	All Maybe Montana.wav	24173	Spectrogram 1	1	Large Training Set.wav-70	0.350883648412225
9798.73740985619	9799.04820191619	All Maybe Montana.wav	24178	Spectrogram 1	1	Large Training Set.wav-70	0.35142213857823
9874.21487729372	9874.52566935372	All Maybe Montana.wav	24294	Spectrogram 1	1	Large Training Set.wav-70	0.355298104929349
9892.64304119089	9892.92620728089	All Maybe Montana.wav	14079	Spectrogram 1	1	Large Training Set.wav-24	0.35240021566782
9900.13105156674	9900.41421765674	All Maybe Montana.wav	14091	Spectrogram 1	1	Large Training Set.wav-24	0.358065220574232
9978.2431598037	9978.52632589371	All Maybe Montana.wav	14149	Spectrogram 1	1	Large Training Set.wav-24	0.353569530459345
9999.91110062384	10000.2218926838	All Maybe Montana.wav	24538	Spectrogram 1	1	Large Training Set.wav-70	0.356049834215769
10059.1538725498	10059.4646646098	All Maybe Montana.wav	24696	Spectrogram 1	1	Large Training Set.wav-70	0.354906091339994
10194.6487930021	10194.9319590921	All Maybe Montana.wav	14778	Spectrogram 1	1	Large Training Set.wav-24	0.350288903632704
10258.6742270466	10258.9850191066	All Maybe Montana.wav	26314	Spectrogram 1	1	Large Training Set.wav-70	0.35133340743823
10289.1596145446	10289.4704066046	All Maybe Montana.wav	26341	Spectrogram 1	1	Large Training Set.wav-70	0.351526782208301
10344.5583340593	10344.8415001493	All Maybe Montana.wav	15773	Spectrogram 1	1	Large Training Set.wav-24	0.350196296895718
10345.1450015389	10345.4281676289	All Maybe Montana.wav	15774	Spectrogram 1	1	Large Training Set.wav-24	0.353164476039192
10382.2157798817	10382.5265719417	All Maybe Montana.wav	26907	Spectrogram 1	1	Large Training Set.wav-70	0.350450590197298
10434.2757917107	10434.5589578007	All Maybe Montana.wav	15960	Spectrogram 1	1	Large Training Set.wav-24	0.350351589195901
10492.8572062181	10493.1403723081	All Maybe Montana.wav	16046	Spectrogram 1	1	Large Training Set.wav-24	0.357186764148591
10512.4732333992	10512.7563994892	All Maybe Montana.wav	16129	Spectrogram 1	1	Large Training Set.wav-24	0.354216463426441
10513.3479012779	10513.6310673679	All Maybe Montana.wav	16130	Spectrogram 1	1	Large Training Set.wav-24	0.360464483084502
10620.4413830066	10620.7245490966	All Maybe Montana.wav	16177	Spectrogram 1	1	Large Training Set.wav-24	0.353108288643096
10649.5122547993	10649.8230468593	All Maybe Montana.wav	27310	Spectrogram 1	1	Large Training Set.wav-70	0.351826162090596
10655.0014308951	10655.2845969851	All Maybe Montana.wav	16183	Spectrogram 1	1	Large Training Set.wav-24	0.358881602317617
10817.37388638	10817.68467844	All Maybe Montana.wav	28245	Spectrogram 1	1	Large Training Set.wav-70	0.350141343202394
11089.918370622	11090.229162682	All Maybe Montana.wav	29283	Spectrogram 1	1	Large Training Set.wav-70	0.377735462259012
11100.4677226988	11100.7785147588	All Maybe Montana.wav	29412	Spectrogram 1	1	Large Training Set.wav-70	0.361490393405521
11126.7241404917	11126.9865871117	All Maybe Montana.wav	34960	Spectrogram 1	1	Large Training Set.wav-46	0.350173557731914
11140.9861043055	11141.2692703955	All Maybe Montana.wav	17350	Spectrogram 1	1	Large Training Set.wav-24	0.351447433744482
11149.6367829591	11149.9199490491	All Maybe Montana.wav	17444	Spectrogram 1	1	Large Training Set.wav-24	0.350373706451293
9.9733471530195	10.6361437388487	All Maybe Montana.wav	7760	Spectrogram 1	1	Large Training Set.wav-24	0.352903861072687
10.7200190467386	11.0778477144446	All Maybe Montana.wav	17777	Spectrogram 1	1	Large Training Set.wav-70	0.389940607130594
11.0826863577725	11.500145273959	All Maybe Montana.wav	17779	Spectrogram 1	1	Large Training Set.wav-70	0.353904470972328
17.6320244320227	17.9365238849169	All Maybe Montana.wav	7765	Spectrogram 1	1	Large Training Set.wav-24	0.367354481054696
19.6373682239261	20.2254941100109	All Maybe Montana.wav	17783	Spectrogram 1	1	Large Training Set.wav-70	0.387445411856819
21.5360298416539	21.840529294548	All Maybe Montana.wav	7772	Spectrogram 1	1	Large Training Set.wav-24	0.35945042835876
22.1547060299264	22.8538640320206	All Maybe Montana.wav	17791	Spectrogram 1	1	Large Training Set.wav-70	0.35155355190979
23.1253744212231	23.4681665380791	All Maybe Montana.wav	17798	Spectrogram 1	1	Large Training Set.wav-70	0.404800720824406
23.552041845969	24.2298659386939	All Maybe Montana.wav	17800	Spectrogram 1	1	Large Training Set.wav-70	0.39343368133565
26.1867131937744	26.5188386250116	All Maybe Montana.wav	17804	Spectrogram 1	1	Large Training Set.wav-70	0.352276261282251
36.0853974478772	36.7481901332925	All Maybe Montana.wav	17807	Spectrogram 1	1	Large Training Set.wav-70	0.401616124400761
37.2267328090723	38.209526063047	All Maybe Montana.wav	17814	Spectrogram 1	1	Large Training Set.wav-70	0.367721498139658
38.8054022806318	39.830862277081	All Maybe Montana.wav	17827	Spectrogram 1	1	Large Training Set.wav-70	0.369360866721007
39.8507374712591	40.2192214278663	All Maybe Montana.wav	17831	Spectrogram 1	1	Large Training Set.wav-70	0.408748338039923
40.2773891441729	40.7418888187732	All Maybe Montana.wav	7791	Spectrogram 1	1	Large Training Set.wav-24	0.360853110953504
55.2000764886373	55.6752428446847	All Maybe Montana.wav	7795	Spectrogram 1	1	Large Training Set.wav-24	0.355154410084217
55.9040993273203	56.5988920695916	All Maybe Montana.wav	17832	Spectrogram 1	1	Large Training Set.wav-70	0.400638806567563
59.2107487127393	59.6859150687867	All Maybe Montana.wav	7804	Spectrogram 1	1	Large Training Set.wav-24	0.354435437413682
60.2347501316589	60.5925829917885	All Maybe Montana.wav	7811	Spectrogram 1	1	Large Training Set.wav-24	0.355886277337279
94.78413133875	95.1419641988795	All Maybe Montana.wav	7814	Spectrogram 1	1	Large Training Set.wav-24	0.368726540402553
95.7974660762226	96.1232988920109	All Maybe Montana.wav	7817	Spectrogram 1	1	Large Training Set.wav-24	0.350474282875101
96.1707999268703	96.6032995571295	All Maybe Montana.wav	7819	Spectrogram 1	1	Large Training Set.wav-24	0.363263089327472
103.840184497513	104.300310156174	All Maybe Montana.wav	17842	Spectrogram 1	1	Large Training Set.wav-70	0.360908971872043
111.2214874487	111.557986945935	All Maybe Montana.wav	7823	Spectrogram 1	1	Large Training Set.wav-24	0.353860287834327
114.720158963342	115.04599177913	All Maybe Montana.wav	7826	Spectrogram 1	1	Large Training Set.wav-24	0.350973075644914
118.880211219803	119.291330995068	All Maybe Montana.wav	17848	Spectrogram 1	1	Large Training Set.wav-70	0.356279425244083
121.25888211276	121.740341142659	All Maybe Montana.wav	17849	Spectrogram 1	1	Large Training Set.wav-70	0.350482451714784
123.925553517422	124.375012490464	All Maybe Montana.wav	17856	Spectrogram 1	1	Large Training Set.wav-70	0.3586123170218
124.778888366913	125.601681336608	All Maybe Montana.wav	17862	Spectrogram 1	1	Large Training Set.wav-70	0.359083268472633
126.240224296668	127.205174080277	All Maybe Montana.wav	17878	Spectrogram 1	1	Large Training Set.wav-70	0.36697363148681
128.0322274806	129.079020848287	All Maybe Montana.wav	17898	Spectrogram 1	1	Large Training Set.wav-70	0.367437280630911
130.00556432005	130.455023293092	All Maybe Montana.wav	17918	Spectrogram 1	1	Large Training Set.wav-70	0.351615638896378
132.042901273211	132.471026875016	All Maybe Montana.wav	17924	Spectrogram 1	1	Large Training Set.wav-70	0.350456984175009
132.490902069194	133.30302835327	All Maybe Montana.wav	17928	Spectrogram 1	1	Large Training Set.wav-70	0.373461808624429
134.496238965499	135.031031423491	All Maybe Montana.wav	17945	Spectrogram 1	1	Large Training Set.wav-70	0.356173222929846
135.082906674525	135.681699246228	All Maybe Montana.wav	17952	Spectrogram 1	1	Large Training Set.wav-70	0.361771794109356
160.992214244299	161.563389569845	All Maybe Montana.wav	30100	Spectrogram 1	1	Large Training Set.wav-46	0.353302412022831
196.981683319524	197.63380931932	All Maybe Montana.wav	17966	Spectrogram 1	1	Large Training Set.wav-70	0.361832303983291
197.675017884736	198.252477085202	All Maybe Montana.wav	17977	Spectrogram 1	1	Large Training Set.wav-70	0.352721510312921
201.098960499296	202.651446503996	All Maybe Montana.wav	14	Spectrogram 1	1	Large Training Set.wav-27	0.357457871219153
202.805693667304	203.120780487667	All Maybe Montana.wav	18010	Spectrogram 1	1	Large Training Set.wav-70	0.389788495930519
206.30436655022	206.90745240138	All Maybe Montana.wav	18011	Spectrogram 1	1	Large Training Set.wav-70	0.394979800758612
215.968299259022	216.379465526387	All Maybe Montana.wav	7871	Spectrogram 1	1	Large Training Set.wav-24	0.354058357134598
218.93363670131	219.462136464593	All Maybe Montana.wav	7875	Spectrogram 1	1	Large Training Set.wav-24	0.352843903254373
220.437638785349	220.859471734161	All Maybe Montana.wav	7881	Spectrogram 1	1	Large Training Set.wav-24	0.36093727795236
223.616309856578	224.326143204461	All Maybe Montana.wav	7885	Spectrogram 1	1	Large Training Set.wav-24	0.355619525987989
230.656319611651	231.120819286251	All Maybe Montana.wav	7892	Spectrogram 1	1	Large Training Set.wav-24	0.367476342416744
239.16833140642	239.504830903656	All Maybe Montana.wav	7895	Spectrogram 1	1	Large Training Set.wav-24	0.356043225879385
243.168336949075	244.027503837218	All Maybe Montana.wav	7897	Spectrogram 1	1	Large Training Set.wav-24	0.35524302883439
245.96300748821	246.608840747411	All Maybe Montana.wav	7908	Spectrogram 1	1	Large Training Set.wav-24	0.350109596784773
251.80834892121	252.198181825681	All Maybe Montana.wav	7918	Spectrogram 1	1	Large Training Set.wav-24	0.350820134771245
256.747022431208	257.072855246996	All Maybe Montana.wav	7920	Spectrogram 1	1	Large Training Set.wav-24	0.350377378422403
286.699063934607	287.152896927761	All Maybe Montana.wav	7922	Spectrogram 1	1	Large Training Set.wav-24	0.356411577168434
287.71239867208	288.048898169315	All Maybe Montana.wav	7929	Spectrogram 1	1	Large Training Set.wav-24	0.379044457615641
320.715111069345	321.431362609319	All Maybe Montana.wav	7931	Spectrogram 1	1	Large Training Set.wav-24	0.350901438891935
551.616764354278	552.219930887691	All Maybe Montana.wav	7939	Spectrogram 1	1	Large Training Set.wav-24	0.363556350531048
552.59809904741	553.137265492139	All Maybe Montana.wav	7949	Spectrogram 1	1	Large Training Set.wav-24	0.356294292349263
553.675433873565	554.1932669554	All Maybe Montana.wav	7959	Spectrogram 1	1	Large Training Set.wav-24	0.357076268776468
555.147435913262	555.675935676544	All Maybe Montana.wav	7967	Spectrogram 1	1	Large Training Set.wav-24	0.350932229126314
556.683438041641	557.179937760583	All Maybe Montana.wav	7971	Spectrogram 1	1	Large Training Set.wav-24	0.353148260475392
563.62744766369	563.953280479478	All Maybe Montana.wav	7978	Spectrogram 1	1	Large Training Set.wav-24	0.360576169721626
565.675450501529	566.225283627706	All Maybe Montana.wav	7980	Spectrogram 1	1	Large Training Set.wav-24	0.357833798007991
567.670119932133	568.241286421204	All Maybe Montana.wav	7982	Spectrogram 1	1	Large Training Set.wav-24	0.366593172813589
568.619423370774	569.265287840124	All Maybe Montana.wav	30143	Spectrogram 1	1	Large Training Set.wav-46	0.358253869267886
569.643455999843	570.331955984832	All Maybe Montana.wav	8002	Spectrogram 1	1	Large Training Set.wav-24	0.362405226106227
571.104791358093	571.76129129874	All Maybe Montana.wav	8014	Spectrogram 1	1	Large Training Set.wav-24	0.38019461253611
572.043459325436	572.945292939366	All Maybe Montana.wav	8025	Spectrogram 1	1	Large Training Set.wav-24	0.352846430164248
573.85679517144	574.470628386299	All Maybe Montana.wav	8039	Spectrogram 1	1	Large Training Set.wav-24	0.363791453089835
575.830131239149	576.358631002432	All Maybe Montana.wav	8052	Spectrogram 1	1	Large Training Set.wav-24	0.351946660905046
577.024799561222	577.521299280164	All Maybe Montana.wav	8060	Spectrogram 1	1	Large Training Set.wav-24	0.360954452200168
578.550135008154	578.929301231178	All Maybe Montana.wav	8065	Spectrogram 1	1	Large Training Set.wav-24	0.356251907759889
579.947470277722	580.411969952322	All Maybe Montana.wav	8068	Spectrogram 1	1	Large Training Set.wav-24	0.354399009912973
581.27013877716	581.723971770313	All Maybe Montana.wav	8074	Spectrogram 1	1	Large Training Set.wav-24	0.368671711041097
583.392808385129	583.921308148411	All Maybe Montana.wav	8080	Spectrogram 1	1	Large Training Set.wav-24	0.354851916915455
586.432812597546	586.769312094782	All Maybe Montana.wav	8085	Spectrogram 1	1	Large Training Set.wav-24	0.353934439356124
