Begin Time (s)	End Time (s)	Begin File	Selection	View	Channel	template	scores
195.755092111219	196.059591580918	Maybe Montana 3&4.wav	584	Spectrogram 1	1	Large Training Set.wav-24	0.354037680200195
198.763098648674	199.46226564279	Maybe Montana 3&4.wav	586	Spectrogram 1	1	Large Training Set.wav-24	0.353254743531248
205.728447120155	206.246280386836	Maybe Montana 3&4.wav	601	Spectrogram 1	1	Large Training Set.wav-24	0.35414669140149
214.571133005083	214.89696585448	Maybe Montana 3&4.wav	607	Spectrogram 1	1	Large Training Set.wav-24	0.356205460154302
218.272474382731	219.18497517383	Maybe Montana 3&4.wav	609	Spectrogram 1	1	Large Training Set.wav-24	0.35336270572543
221.09914719275	221.734314047772	Maybe Montana 3&4.wav	621	Spectrogram 1	1	Large Training Set.wav-24	0.361023233304011
228.469829878499	229.254330391408	Maybe Montana 3&4.wav	631	Spectrogram 1	1	Large Training Set.wav-24	0.35127362714099
230.475167570135	230.779667039833	Maybe Montana 3&4.wav	637	Spectrogram 1	1	Large Training Set.wav-24	0.357020140337842
261.824569036726	262.235735404915	Maybe Montana 3&4.wav	639	Spectrogram 1	1	Large Training Set.wav-24	0.353412280855135
262.805904502846	263.174404111639	Maybe Montana 3&4.wav	641	Spectrogram 1	1	Large Training Set.wav-24	0.365072686897603
295.797976206202	296.556968026785	Maybe Montana 3&4.wav	644	Spectrogram 1	1	Large Training Set.wav-24	0.350444410434676
526.710478060152	527.313644845626	Maybe Montana 3&4.wav	657	Spectrogram 1	1	Large Training Set.wav-24	0.357834656206617
527.702480216121	528.284313621896	Maybe Montana 3&4.wav	664	Spectrogram 1	1	Large Training Set.wav-24	0.3584614103148
528.81181596043	529.350982606809	Maybe Montana 3&4.wav	674	Spectrogram 1	1	Large Training Set.wav-24	0.364825776106069
530.315819229158	530.801652426291	Maybe Montana 3&4.wav	683	Spectrogram 1	1	Large Training Set.wav-24	0.369703367502294
531.777155738488	532.252322245772	Maybe Montana 3&4.wav	691	Spectrogram 1	1	Large Training Set.wav-24	0.351999157275682
538.699837450573	539.057670369517	Maybe Montana 3&4.wav	695	Spectrogram 1	1	Large Training Set.wav-24	0.364694392510771
