Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Begin File
91	Spectrogram 1	1	3726.090174	3726.58918	0	24000	0.499	24000	-86.62	LARGE DEMO SET.wav
92	Spectrogram 1	1	3727.647511	3728.301991	0	24000	0.6545	24000	-68.22	LARGE DEMO SET.wav
93	Spectrogram 1	1	3728.842181	3729.152973	0	24000	0.3108	24000	-64.33	LARGE DEMO SET.wav
94	Spectrogram 1	1	3745.719002	3746.002168	0	24000	0.2832	24000	-65.19	LARGE DEMO SET.wav
95	Spectrogram 1	1	3769.676414	3770.02358	0	24000	0.3472	24000	-65.43	LARGE DEMO SET.wav
96	Spectrogram 1	1	3771.850299	3772.395758	0	24000	0.5455	24000	-74.51	LARGE DEMO SET.wav
97	Spectrogram 1	1	3781.303119	3781.586285	0	24000	0.2832	24000	-68.3	LARGE DEMO SET.wav
98	Spectrogram 1	1	3795.745833	3796.092999	0	24000	0.3472	24000	-57.93	LARGE DEMO SET.wav
99	Spectrogram 1	1	3805.281864	3805.56503	0	24000	0.2832	24000	-73.47	LARGE DEMO SET.wav
100	Spectrogram 1	1	3806.327201	3806.674367	0	24000	0.3472	24000	-63.71	LARGE DEMO SET.wav
101	Spectrogram 1	1	3807.797064	3808.637041	0	24000	0.84	24000	-57.12	LARGE DEMO SET.wav
102	Spectrogram 1	1	3808.652542	3809.405043	0	24000	0.7525	24000	-54.16	LARGE DEMO SET.wav
103	Spectrogram 1	1	3809.484545	3809.767711	0	24000	0.2832	24000	-58.96	LARGE DEMO SET.wav
104	Spectrogram 1	1	3809.804546	3810.429046	0	24000	0.6245	24000	-58.04	LARGE DEMO SET.wav
105	Spectrogram 1	1	3810.849883	3811.197049	0	24000	0.3472	24000	-71.87	LARGE DEMO SET.wav
106	Spectrogram 1	1	3812.149076	3812.545201	0	24000	0.3961	24000	-76.34	LARGE DEMO SET.wav
107	Spectrogram 1	1	3913.120018	3913.49481	0	24000	0.3748	24000	-87.54	LARGE DEMO SET.wav
108	Spectrogram 1	1	3913.847555	3914.301389	0	24000	0.4538	24000	-76.13	LARGE DEMO SET.wav
109	Spectrogram 1	1	3915.061357	3915.651777	0	24000	0.5904	24000	-78.87	LARGE DEMO SET.wav
110	Spectrogram 1	1	3925.794261	3926.188178	0	24000	0.3939	24000	-74.32	LARGE DEMO SET.wav
111	Spectrogram 1	1	3968.522836	3968.833628	0	24000	0.3108	24000	-87.05	LARGE DEMO SET.wav
112	Spectrogram 1	1	3969.333505	3969.814964	0	24000	0.4815	24000	-87.28	LARGE DEMO SET.wav
113	Spectrogram 1	1	3971.274843	3971.585635	0	24000	0.3108	24000	-86.81	LARGE DEMO SET.wav
114	Spectrogram 1	1	3972.44818	3972.822972	0	24000	0.3748	24000	-88.92	LARGE DEMO SET.wav
115	Spectrogram 1	1	3972.981515	3973.292307	0	24000	0.3108	24000	-86.29	LARGE DEMO SET.wav
116	Spectrogram 1	1	3974.922853	3975.233645	0	24000	0.3108	24000	-85.59	LARGE DEMO SET.wav
117	Spectrogram 1	1	3977.162859	3977.708319	0	24000	0.5455	24000	-88.09	LARGE DEMO SET.wav
118	Spectrogram 1	1	3978.54953	3978.988322	0	24000	0.4388	24000	-85.87	LARGE DEMO SET.wav
119	Spectrogram 1	1	3979.466866	3980.076325	0	24000	0.6095	24000	-89.53	LARGE DEMO SET.wav
120	Spectrogram 1	1	3980.704202	3981.014994	0	24000	0.3108	24000	-92.2	LARGE DEMO SET.wav
121	Spectrogram 1	1	3981.280204	3981.846997	0	24000	0.5668	24000	-90.32	LARGE DEMO SET.wav
122	Spectrogram 1	1	3982.368207	3982.678999	0	24000	0.3108	24000	-92.54	LARGE DEMO SET.wav
123	Spectrogram 1	1	4043.232373	4043.777833	0	24000	0.5455	24000	-58.65	LARGE DEMO SET.wav
124	Spectrogram 1	1	4044.043042	4044.759169	0	24000	0.7161	24000	-68.04	LARGE DEMO SET.wav
125	Spectrogram 1	1	4045.280379	4045.591171	0	24000	0.3108	24000	-65.41	LARGE DEMO SET.wav
126	Spectrogram 1	1	4046.048381	4046.359173	0	24000	0.3108	24000	-64.91	LARGE DEMO SET.wav
127	Spectrogram 1	1	4046.816383	4047.361842	0	24000	0.5455	24000	-84.45	LARGE DEMO SET.wav
128	Spectrogram 1	1	4047.883053	4048.79118	0	24000	0.9081	24000	-82.44	LARGE DEMO SET.wav
129	Spectrogram 1	1	4048.928389	4049.367181	0	24000	0.4388	24000	-89.37	LARGE DEMO SET.wav
130	Spectrogram 1	1	4050.059058	4050.732518	0	24000	0.6735	24000	-88.54	LARGE DEMO SET.wav
131	Spectrogram 1	1	4051.360395	4051.927188	0	24000	0.5668	24000	-86	LARGE DEMO SET.wav
132	Spectrogram 1	1	4052.149731	4052.823191	0	24000	0.6735	24000	-85.88	LARGE DEMO SET.wav
133	Spectrogram 1	1	4053.067067	4053.804527	0	24000	0.7375	24000	-80.97	LARGE DEMO SET.wav
134	Spectrogram 1	1	4054.901738	4055.703198	0	24000	0.8015	24000	-73.83	LARGE DEMO SET.wav
135	Spectrogram 1	1	4056.160408	4056.876535	0	24000	0.7161	24000	-68.4	LARGE DEMO SET.wav
136	Spectrogram 1	1	4057.035078	4057.644537	0	24000	0.6095	24000	-72.65	LARGE DEMO SET.wav
137	Spectrogram 1	1	4057.824413	4058.199205	0	24000	0.3748	24000	-68.83	LARGE DEMO SET.wav
138	Spectrogram 1	1	4058.293748	4058.984532	0	24000	0.6908	24000	-63.27	LARGE DEMO SET.wav
139	Spectrogram 1	1	4059.064033	4059.500542	0	24000	0.4365	24000	-66.41	LARGE DEMO SET.wav
140	Spectrogram 1	1	4059.637751	4060.008535	0	24000	0.3708	24000	-67.21	LARGE DEMO SET.wav
141	Spectrogram 1	1	4060.725754	4061.352539	0	24000	0.6268	24000	-70.57	LARGE DEMO SET.wav
142	Spectrogram 1	1	4061.45109	4062.060549	0	24000	0.6095	24000	-72.84	LARGE DEMO SET.wav
143	Spectrogram 1	1	4062.219092	4063.212552	0	24000	0.9935	24000	-73.22	LARGE DEMO SET.wav
144	Spectrogram 1	1	4063.330714	4063.61388	0	24000	0.2832	24000	-75.02	LARGE DEMO SET.wav
145	Spectrogram 1	1	4065.0991	4065.729892	0	24000	0.6308	24000	-81	LARGE DEMO SET.wav
146	Spectrogram 1	1	4066.080436	4066.433894	0	24000	0.3535	24000	-83.31	LARGE DEMO SET.wav
147	Spectrogram 1	1	4066.592437	4066.945896	0	24000	0.3535	24000	-91.28	LARGE DEMO SET.wav
148	Spectrogram 1	1	4067.061772	4067.372564	0	24000	0.3108	24000	-90.66	LARGE DEMO SET.wav
149	Spectrogram 1	1	4068.043108	4068.4819	0	24000	0.4388	24000	-87.09	LARGE DEMO SET.wav
150	Spectrogram 1	1	4069.109777	4069.527236	0	24000	0.4175	24000	-91.24	LARGE DEMO SET.wav
151	Spectrogram 1	1	4074.827126	4075.77792	0	24000	0.9508	24000	-92.2	LARGE DEMO SET.wav
152	Spectrogram 1	1	4076.448464	4077.057923	0	24000	0.6095	24000	-90.85	LARGE DEMO SET.wav
153	Spectrogram 1	1	4078.048468	4078.465927	0	24000	0.4175	24000	-91.43	LARGE DEMO SET.wav
154	Spectrogram 1	1	4078.88047	4079.191263	0	24000	0.3108	24000	-91.52	LARGE DEMO SET.wav
155	Spectrogram 1	1	4079.81914	4080.257932	0	24000	0.4388	24000	-92.11	LARGE DEMO SET.wav
156	Spectrogram 1	1	4220.259231	4220.542397	0	24000	0.2832	24000	-59.15	LARGE DEMO SET.wav
157	Spectrogram 1	1	4244.406256	4245.250383	0	24000	0.8441	24000	-64.75	LARGE DEMO SET.wav
